,FECHA_DOC,CANT,MARGEN_UNITARIO_CALCULADO
279,2022-03-04,15,677.59
280,2022-03-04,1,884.26
281,2022-03-04,2,301.17
282,2022-03-04,2,695.91
283,2022-03-07,4,177.9
284,2022-03-07,1,1829.74
285,2022-03-07,4,506.53
286,2022-03-08,5,980.86
287,2022-03-08,2,425.43
288,2022-03-08,9,902.12
289,2022-03-09,1,583.35
290,2022-03-09,4,971.92
291,2022-03-09,1,326.2
292,2022-03-09,10,268.6
293,2022-03-09,1,787.46
294,2022-03-09,1,663.3
295,2022-03-09,1,663.3
296,2022-03-10,3,1135.65
297,2022-03-10,2,701.46
298,2022-03-10,1,288.19
299,2022-03-10,20,235.95
300,2022-03-10,5,0.0
301,2022-03-10,5,326.2
302,2022-03-11,1,2005.72
303,2022-03-11,6,1247.89
304,2022-03-11,2,874.86
305,2022-03-11,1,2724.47
306,2022-03-11,2,242.0
307,2022-03-11,2,68.8
308,2022-03-11,1,1959.55
309,2022-03-14,10,577.51
310,2022-03-14,15,727.42
311,2022-03-15,1,165.0
312,2022-03-15,4,1982.41
313,2022-03-15,9,824.97
314,2022-03-15,1,787.46
315,2022-03-15,2,857.5
316,2022-03-15,2,1714.24
317,2022-03-15,4,994.73
318,2022-03-16,2,1101.35
319,2022-03-16,5,330.86
320,2022-03-16,1,242.0
321,2022-03-16,2,1128.97
322,2022-03-16,5,327.23
323,2022-03-16,2,1066.56
324,2022-03-16,6,378.48
325,2022-03-16,1,597.89
326,2022-03-16,20,403.08
327,2022-03-16,2,2292.18
328,2022-03-17,4,230.45
329,2022-03-17,2,1326.89
330,2022-03-17,2,354.2
331,2022-03-17,1,1677.89
332,2022-03-18,1,508.41
333,2022-03-18,2,675.27
334,2022-03-18,6,631.54
335,2022-03-18,1,435.78
336,2022-03-18,1,859.82
337,2022-03-18,1,859.82
338,2022-03-18,1,1431.38
339,2022-03-18,1,1431.38
340,2022-03-22,4,431.12
341,2022-03-22,1,787.46
342,2022-03-22,2,560.83
343,2022-03-22,6,310.02
344,2022-03-22,2,55.54
345,2022-03-22,2,101.64
346,2022-03-22,2,59.04
347,2022-03-23,1,8788.35
348,2022-03-23,1,510.0
349,2022-03-23,2,799.61
350,2022-03-23,10,177.98
351,2022-03-23,5,2214.53
352,2022-03-23,2,871.15
353,2022-03-23,1,331.18
354,2022-03-23,1,395.54
355,2022-03-23,1,497.96
356,2022-03-23,4,1813.74
357,2022-03-23,2,1667.03
358,2022-03-23,1,5454.83
359,2022-03-23,3,2075.39
